ticker,invested_value
ANNAPURNA,923550
SYMPHONY,375129
PGEL,715042
GANESHIN,350280
HEXT,16359
ZAGGLE,488371
KAYNES,401775
UNIECOM,10141
KALYANKJIL,865139
COFORGE,11737
GARUDA,77128
SAGILITY,50159
CEINSYS,639221
DOMS,24886
KPGREEN,215075
SHILCTECH,88084
ANANTRAJ,113119
KPEL,28320
NYKAA,24809
CUPID,50790
GENUSPOWER,174192
IKS,65157
WAAREEENER,198539
HSCL,28721
MANORAMA,1349
BELRISE,50751
RUBICON,25129
OMNI,52489
SHADOWFAX,77669
KODYTECH,73100
PREMIERENE,476295
SAILIFE,232469
ALPEXSOLAR,236030
AZAD,107922
GVT&D,78915
TRITURBINE,25755
SKYGOLD,460483
